rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss
179.57,1942,269,524288,500.0,32,0.0014330283443086955,0.038813503216442766,0.9940368193201721,155,0.07696533203125,-0.0036896492820233107,0.0005,0.1,0.0022860516,-0.22209904430201277
181.84,1944,278,540672,500.0,33,0.0011903943144716323,0.04917033437141072,0.9943359075114131,160,0.0725341796875,0.013387725688517094,0.0005,0.1,0.0015516406,-0.2162114045699127
181.63,1948,285,557056,500.0,34,0.00195202307540967,0.03870592108396522,0.9947690102271736,165,0.07730712890625,0.009961547330021858,0.0005,0.1,0.0018330545,-0.20482880649506113
182.13,1940,295,573440,500.0,35,0.001618143174891884,0.046823052299805566,0.9940494690090418,170,0.0727294921875,0.007387509569525719,0.0005,0.1,0.0017630383,-0.19545111695770173
182.58,1930,305,589824,500.0,36,0.001725755194456724,0.033574839951143076,0.9947909987531602,175,0.084033203125,0.012251978740096092,0.0005,0.1,0.0030285968,-0.19096173004363665
184.42,1927,314,606208,500.0,37,0.0025187092667692925,0.039915344478686166,0.9935281118378043,180,0.06942138671875,-0.00257757306098938,0.0005,0.1,0.0031718533,-0.1766083141323179
186.66,1931,322,622592,500.0,38,0.0020401785026479048,0.042237852515972917,0.9931308524683118,185,0.0665283203125,-0.007663369178771973,0.0005,0.1,0.003040502,-0.17000087153865023
187.9,1936,330,638976,500.0,39,0.001402367779019187,0.04844411310150463,0.9923097207210958,190,0.061572265625,0.0038739237934350967,0.0005,0.1,0.0014906297,-0.17368318124208598
186.17,1930,339,655360,500.0,40,0.002041940644267015,0.05517893476462632,0.9916645605117083,195,0.06324462890625,0.008555395528674126,0.0005,0.1,0.0015104206,-0.1729742688999977
184.76,1928,348,671744,500.0,41,0.0017435638314054814,0.06650465028942562,0.9905116707086563,200,0.0693603515625,0.020912475883960724,0.0005,0.1,0.0024846394,-0.17545163374743425
182.64,1926,357,688128,500.0,42,0.001442063884132949,0.06286319353930594,0.991357097402215,205,0.07015380859375,0.00404449924826622,0.0005,0.1,0.0017645815,-0.17269743951037525
183.81,1927,365,704512,500.0,43,0.0015425645075538342,0.06643293981542228,0.9906488033011556,210,0.066015625,0.017830949276685715,0.0005,0.1,0.0022027572,-0.17224183643702418
184.78,1928,373,720896,500.0,44,0.001647876499555423,0.045703479482654075,0.9925428261049092,215,0.06142578125,0.0009397804969921708,0.0005,0.1,0.0015492497,-0.1582073960569687
183.83,1929,382,737280,500.0,45,0.0013849315377228778,0.04908143391658086,0.9921959536150098,220,0.0591796875,0.00546356150880456,0.0005,0.1,0.0013347857,-0.16085766489850356
182.67,1930,390,753664,500.0,46,0.0016170069236977724,0.058272487484282466,0.9908338040113449,225,0.0672119140625,0.007704906165599823,0.0005,0.1,0.0020480743,-0.16621579242055304
179.47,1931,398,770048,500.0,47,0.001823160922867828,0.05074168581904814,0.9926676414906979,230,0.06019287109375,0.00010890595149248838,0.0005,0.1,0.001678545,-0.1649209360650275
179.56,1932,407,786432,500.0,48,0.0014309913714896539,0.052838741856976415,0.9922729139216244,235,0.06767578125,0.031641919165849686,0.0005,0.1,0.0021825447,-0.16217613586923108
179.05,1928,416,802816,500.0,49,0.0014923821836418938,0.04551803595750244,0.9938164749182761,240,0.05985107421875,0.006559218745678663,0.0005,0.1,0.0020039638,-0.15626213831128552
180.86,1927,424,819200,500.0,50,0.0008895935209693561,0.03784093139511242,0.9946090467274189,245,0.06187744140625,0.005436633713543415,0.0005,0.1,0.0019194587,-0.1601417795580346
180.68,1926,433,835584,500.0,51,0.0010535451369833027,0.04471119459194597,0.9935950203798711,250,0.054052734375,-0.00029539887327700853,0.0005,0.1,0.0015295739,-0.16121104098856448
181.37,1925,442,851968,500.0,52,0.0011226249296669266,0.037653312580914644,0.993875143583864,255,0.05833740234375,0.007809251546859741,0.0005,0.1,0.001408566,-0.1568586141220294
182.1,1922,451,868352,500.0,53,0.0016783836632384918,0.03638242092838482,0.9935205257497728,260,0.06036376953125,-0.00020609097555279732,0.0005,0.1,0.0017789758,-0.14962844725814647
182.58,1921,460,884736,500.0,54,0.0011805667278167674,0.03470174690028216,0.993187665939331,265,0.0605712890625,-0.00023169862106442451,0.0005,0.1,0.0025993772,-0.14361965425196105
181.24,1920,469,901120,500.0,55,0.0018600994404550874,0.043028989957929295,0.992166175507009,270,0.05318603515625,-0.00036159856244921684,0.0005,0.1,0.0018739274,-0.14280311006004923
180.14,1922,477,917504,500.0,56,0.0019145589182699041,0.04486823216393532,0.99188347812742,275,0.05706787109375,0.006968483328819275,0.0005,0.1,0.0013617647,-0.15224287494784222
179.5,1923,485,933888,500.0,57,0.0017790602501918328,0.040986555709787355,0.9926712801679969,280,0.06024169921875,0.0010824695928022265,0.0005,0.1,0.0017795922,-0.14837104338803328
179.21,1924,493,950272,500.0,58,0.0018748188776953612,0.03638043041937635,0.9925093818455935,285,0.053857421875,0.003641709452494979,0.0005,0.1,0.0016740597,-0.14059320378582923
178.51,1923,502,966656,500.0,59,0.001687424307147012,0.03878043104014069,0.9924595500342548,290,0.0525634765625,-0.0024893395602703094,0.0005,0.1,0.001678343,-0.13575181480846368
176.94,1918,512,983040,500.0,60,0.002326303142399411,0.04541874646620272,0.9913439312949777,295,0.05858154296875,0.0011828946880996227,0.0005,0.1,0.0023531714,-0.14306202295119874
174.99,1919,520,999424,500.0,61,0.0023959538233611966,0.0472208704744844,0.9908512094989419,300,0.056494140625,-0.003610583022236824,0.0005,0.1,0.0022584854,-0.14186113867908717
174.61,1919,529,1015808,500.0,62,0.0018465778579411563,0.05061124054263928,0.9906360888853669,305,0.0600830078125,-0.0016060108318924904,0.0005,0.1,0.0018268167,-0.1427252508350648
